filterID,Validity,Note
KHC0372,1,
KHC0373,1,
KHC0374,1,
KHC0375,1,
KHC0376,1,
KHC0377,1,
KHC0378,1,
KHC0379,1,
KHC0380,1,
KHC0381,1,
KHC0382,1,
KHC0383,1,
KHC0384,1,
KHC0385,1,
KHC0386,1,
KHC0387,1,
KHC0389,1,
KHC0390,1,
KHC0391,1,
KHC0392,1,
KHC0393,1,
KHC0394,1,
KHC0395,1,
KHC0396,1,
KHC0397,1,
KHC0398,1,
KHC0399,1,
KHC0401,1,
KHC0402,1,
KHC0403,1,
KHC0404,1,
KHC0405,1,
KHC0406,1,
KHC0407,4,large HEPA difference
KHC0408,1,
KHC0409,1,
KHC0410,1,
KHC0411,1,
KHC0412,1,
KHC0413,4,no HEPA
KHC0414,1,
KHC0415,1,
KHC0416,1,
KHC0417,1,
KHC0418,1,
KHC0419,1,
KHC0421,1,
KHC0422,1,
KHC0423,1,
KHC0424,1,
KHC0425,1,
KHC0426,4,negative readings
KHC0427,1,
KHC0428,1,
KHC0429,1,
KHC0430,1,
KHC0431,2,some negative readings
KHC0432,1,
KHC0433,1,
KHC0434,1,
KHC0435,1,
KHC0436,1,
KHC0437,1,
KHC0438,1,
KHC0439,2,long period of zero reading
KHC0440,1,
KHC0441,2,long period of zero reading
KHC0442,4,negative readings
KHC0443,1,
KHC0444,1,
KHC0445,1,
KHC0446,1,
KHC0447,1,
KHC0448,1,
KHC0449,1,
KHC0450,1,
KHC0451,1,
KHC0452,2,some negative readings
KHC0453,4,step baseline
KHC0454,1,
KHC0455,1,
KHC0456,1,
KHC0457,1,
KHC0458,4,no HEPA
KHC0459,1,
KHC0460,1,
KHC0461,1,
KHC0462,1,
KHC0463,1,
KHC0464,1,
KHC0465,1,
KHC0466,1,
KHC0467,1,
KHC0468,1,
KHC0469,1,
KHC0470,1,
KHC0471,1,
KHC0472,1,
KHC0473,1,
KHC0474,1,
KHC0475,1,
KHC0476,1,
KHC0477,1,
KHC0478,1,
KHC0479,4,step baseline
KHC0480,1,
KHC0481,1,
KHC0482,1,
KHC0483,1,
KHC0484,1,
KHC0485,1,
KHC0486,1,
KHC0487,1,
KHC0488,1,
KHC0489,1,
KHC0490,1,
KHC0491,1,
KHC0492,1,
KHC0493,1,
KHC0494,1,
KHC0495,1,
KHC0496,1,
KHC0497,4,large HEPA difference
KHC0498,1,
KHC0499,1,
KHC0500,1,
KHC0501,1,
KHC0502,1,
KHC0503,1,
KHC0504,1,
KHC0505,1,
KHC0506,1,
KHC0507,1,
KHC0508,2,long period of zero reading
KHC0509,2,long period of zero reading
KHC0510,1,
KHC0511,1,
KHC0512,1,
KHC0513,1,
KHC0514,4,long period of zero reading
KHC0515,2,some negative readings
KHC0516,1,
KHC0517,1,
KHC0518,1,
KHC0519,1,
KHC0520,2,large HEPA difference
KHC0521,2,large HEPA difference
KHC0522,1,
KHC0523,1,
KHC0524,1,
KHC0525,1,
KHC0526,1,
KHC0527,1,
KHC0528,1,
KHC0529,1,
KHC0530,1,
KHC0531,1,
KHC0532,1,
KHC0533,1,
KHC0534,1,
KHC0535,1,
KHC0536,1,
KHC0537,1,
KHC0538,1,
KHC0539,1,
KHC0540,1,
KHC0541,1,
KHC0542,1,
KHC0543,1,
KHC0544,1,
KHC0545,1,
KHC0551,1,
KHC0552,1,
KHC0553,1,
KHC0554,1,
KHC0555,1,
KHC0556,1,
KHC0557,1,
KHC0558,1,
KHC0559,1,
KHC0560,1,
KHC0561,1,
KHC0562,4,negative readings
KHC0563,1,
KHC0564,1,
KHC0565,1,
KHC0566,1,
KHC0567,1,
KHC0568,1,
KHC0569,1,
KHC0571,1,
KHC0572,1,
KHC0573,1,
KHC0574,1,
KHC0575,1,
KHC0576,1,
KHC0577,1,
KHC0578,1,
KHC0579,2,some negative readings
KHC0580,1,
KHC0581,1,
KHC0582,1,
KHC0583,1,
KHC0584,1,
KHC0585,1,
KHC0586,1,
KHC0587,4,large HEPA difference
KHC0588,1,
KHC0589,1,
KHC0590,2,large HEPA difference
KHC0591,1,
KHC0592,1,
KHC0593,1,
KHC0594,1,
KHC0595,4,large HEPA difference
KHC0596,1,
KHC0597,1,
KHC0598,1,
KHC0599,1,
KHC0600,1,
KHC0601,1,
KHC0602,1,
KHC0603,1,
KHC0604,1,
KHC0605,1,
KHC0606,1,
KHC0607,4,large HEPA difference
KHC0608,1,
KHC0609,1,
KHC0610,1,
KHC0611,1,
KHC0612,1,
KHC0613,1,
KHC0614,1,
KHC0615,1,
KHC0616,4,negative readings
KHC0617,1,
KHC0618,1,
KHC0619,1,
KHC0620,1,
KHC0621,1,
KHC0622,1,
KHC0623,1,
KHC0624,1,
KHC0625,4,high plateaus shape in data
KHC0626,1,
KHC0627,1,
KHC0628,1,
KHC0629,1,
KHC0630,1,
KHC0631,2,some negative readings
KHC0632,1,
KHC0633,1,
KHC0634,1,
KHC0635,1,
KHC0636,1,
KHC0637,1,
KHC0638,1,
KHC0639,1,
KHC0640,1,
KHC0641,4,step baseline
KHC0642,2,large HEPA difference
KHC0643,1,
KHC0644,2,long period of zero reading
KHC0645,1,
KHC0646,1,
KHC0647,1,
KHC0648,1,
KHC0649,1,
KHC0650,1,
KHC0651,1,
KHC0652,1,
KHC0653,1,
KHC0654,1,
KHC0655,1,
KHC0656,1,
KHC0657,1,
KHC0658,1,
KHC0659,1,
KHC0660,1,
KHC0661,1,
KHC0662,1,
KHC0663,1,
KHC0664,1,
KHC0665,1,
KHC0666,1,
KHC0667,1,
KHC0668,1,
KHC0669,4,long period of zero reading
KHC0670,1,
KHC0671,1,
KHC0672,1,
KHC0673,1,
KHC0674,1,
KHC0675,1,
KHC0676,1,
KHC0677,1,
KHC0678,1,
KHC0679,4,negative readings
KHC0680,1,
KHC0681,1,
KHC0682,2,some negative readings
KHC0683,1,
KHC0684,1,
KHC0685,1,
KHC0686,1,
KHC0687,1,
KHC0688,1,
KHC0689,1,
KHC0690,1,
KHC0691,1,
KHC0692,1,
KHC0693,1,
KHC0694,1,
KHC0695,1,
KHC0696,1,
KHC0697,1,
KHC0698,1,
KHC0699,1,
KHC0700,1,
KHC0701,1,
KHC0702,1,
KHC0703,1,
KHC0704,1,
KHC0705,1,
KHC0706,1,
KHC0707,1,
KHC0708,1,
KHC0709,4,negative readings
KHC0710,2,some negative readings
KHC0711,1,
KHC0712,1,
KHC0713,1,
KHC0714,1,
KHC0715,1,
KHC0716,1,
KHC0717,1,
KHC0718,1,
KHC0719,1,
KHC0720,1,
KHC0721,1,
KHC0722,1,
KHC0723,1,
KHC0724,1,
KHC0725,1,
KHC0726,1,
KHC0727,1,
KHC0728,1,
KHC0729,1,
KHC0730,1,
KHC0731,1,
KHC0732,1,
KHC0733,1,
KHC0734,1,
KHC0735,1,
KHC0736,1,
KHC0737,1,
KHC0738,1,
KHC0739,1,
KHC0740,1,
KHC0741,1,
KHC0742,1,
KHC0743,1,
KHC0744,1,
KHC0745,1,
KHC0746,1,
KHC0747,1,
KHC0748,1,
KHC0749,1,
KHC0750,1,
KHC0751,1,
KHC0752,1,
KHC0753,1,
KHC0754,1,
KHC0755,1,
KHC0756,1,
KHC0757,1,
KHC0758,1,
KHC0759,1,
KHC0760,1,
KHC0761,1,
KHC0762,1,
KHC0763,1,
KHC0764,1,
KHC0765,1,
KHC0766,1,
KHC0767,1,
KHC0768,1,
KHC0769,1,
KHC0770,1,
KHC0771,2,large HEPA difference
KHC0772,1,
KHC0773,1,
KHC0774,1,
KHC0775,1,
KHC0776,1,
KHC0777,1,
KHC0778,1,
KHC0779,1,
KHC0780,1,
KHC0781,1,
KHC0782,1,
KHC0783,1,
KHC0784,1,
KHC0785,1,
KHC0786,1,
KHC0787,1,
KHC0788,1,
KHC0789,1,
KHC0790,1,
KHC0791,1,
KHC0792,1,
KHC0793,1,
KHC0794,1,
KHC0795,1,
KHC0801,1,
KHC0802,2,long period of zero reading
KHC0803,2,long period of zero reading
KHC0804,1,
KHC0805,2,long period of zero reading
KHC0806,4,negative readings
KHC0807,1,
KHC0809,1,
KHC0810,1,
KHC0811,1,
KHC0812,1,
KHC0813,1,
KHC0814,1,
KHC0816,4,high plateaus shape in data
KHC0817,1,
KHC0818,1,
KHC0819,1,
KHC0820,1,
KHC0822,1,
KHC0823,1,
KHC0824,1,
KHC0825,1,
KHC0826,1,
KHC0827,1,
KHC0828,4,negative readings
KHC0829,1,
KHC0830,1,
KHC0831,1,
KHC0832,1,
KHC0833,1,
KHC0834,2,long period of zero reading
KHC0835,1,
KHC0836,1,
KHC0837,1,
KHC0838,1,
KHC0839,1,
KHC0840,1,
KHC0841,1,
KHC0842,1,
KHC0844,4,negative readings
KHC0845,1,
KHC0846,1,
KHC0847,1,
KHC0848,1,
KHC0849,1,
KHC0850,1,
KHC0851,2,long period of zero reading
KHC0852,1,
KHC0853,1,
KHC0854,1,
KHC0855,1,
KHC0856,1,
KHC0857,1,
KHC0858,1,
KHC0859,1,
KHC0860,1,
KHC0861,1,
KHC0862,1,
KHC0863,1,
KHC0864,1,
KHC0865,1,
KHC0866,1,
KHC0867,1,
KHC0868,1,
KHC0869,4,large HEPA difference
KHC0870,1,
KHC0871,1,
KHC0872,1,
KHC0873,1,
KHC0874,1,
KHC0875,1,
KHC0876,1,
KHC0877,1,
KHC0878,1,
KHC0879,1,
KHC0880,1,
KHC0882,1,
KHC0885,1,
KHC0886,1,
KHC0888,1,
KHC0889,1,
KHC0890,1,
KHC0891,1,
KHC0892,1,
KHC0893,1,
KHC0894,1,
KHC0895,1,
KHC0898,1,
KHC0899,1,
KHC0900,1,
KHC0901,4,negative readings
KHC0902,1,
KHC0904,1,
KHC0905,1,
KHC0906,1,
KHC0907,1,
KHC0908,1,
KHC0909,1,
KHC0910,1,
KHC0911,1,
KHC0912,1,
KHC0914,1,
KHC0915,1,
KHC0916,1,
KHC0917,1,
KHC0918,1,
KHC0919,1,
KHC0921,1,
KHC0922,1,
KHC0923,2,long period of zero reading
KHC0924,1,
KHC0926,1,
KHC0927,4,negative readings
KHC0928,2,some negative readings
KHC0929,2,long period of zero reading
KHC0930,1,
KHC0931,1,
KHC0932,1,
KHC0934,1,
KHC0935,1,
KHC0936,1,
KHC0937,1,
KHC0938,1,
KHC0939,1,
KHC0940,4,step baseline
KHC0941,1,
KHC0943,1,
KHC0944,1,
KHC0945,1,
KHC0946,1,
KHC0947,4,negative readings
KHC0948,1,
KHC0949,2,long period of zero reading
KHC0950,1,
KHC0951,1,
KHC0952,1,
KHC0953,4,negative readings
KHC0954,4,large HEPA difference
KHC0955,1,
KHC0956,1,
KHC0957,1,
KHC0958,1,
KHC0959,1,
KHC0961,4,long period of zero reading
KHC0962,1,
KHC0963,2,long period of zero reading
KHC0964,1,
KHC0965,2,long period of zero reading
KHC0966,1,
KHC0967,1,
KHC0968,1,
KHC0969,2,long period of zero reading
KHC0970,1,
KHC0971,1,
KHC0972,1,
KHC0973,2,long period of zero reading
KHC0974,1,
KHC0976,1,
KHC0978,2,long period of zero reading
KHC0979,1,
KHC0980,1,
KHC0981,4,no HEPA
KHC0982,1,
KHC0983,1,
KHC0984,1,
KHC0985,4,long period of zero reading
KHC0986,1,
KHC0987,1,
KHC0988,1,
KHC0990,1,
KHC0991,4,no HEPA
KHC0992,1,
KHC0993,4,negative readings
KHC0994,1,
KHC0995,2,long period of zero reading
KHC0996,1,
KHC0997,1,
KHC0998,1,
KHC0999,1,
KHC1000,2,long period of zero reading
KHC1001,2,long period of zero reading
KHC1002,1,
KHC1003,1,
KHC1004,4,long period of zero reading
KHC1005,1,
KHC1006,1,
KHC1007,1,
KHC1008,1,
KHC1009,1,
KHC1010,2,elevated baseline
KHC1011,2,elevated baseline
KHC1012,4,long period of zero reading
KHC1013,2,elevated baseline
KHC1014,2,elevated baseline
KHC1015,1,
KHC1016,1,
KHC1017,2,elevated baseline
KHC1018,2,elevated baseline
KHC1019,2,elevated baseline
KHC1020,2,elevated baseline
KHC1021,2,elevated baseline
KHC1022,2,elevated baseline
KHC1023,2,elevated baseline
KHC1024,2,elevated baseline
KHC1025,2,long period of zero reading
KHC1026,2,long period of zero reading
KHC1027,4,large HEPA difference
KHC1028,2,elevated baseline
KHC1029,2,elevated baseline
KHC1030,2,elevated baseline
KHC1031,2,elevated baseline
KHC1032,2,elevated baseline
KHC1033,2,elevated baseline
KHC1034,2,elevated baseline
KHC1035,1,
KHC1036,1,
KHC1037,1,
KHC1038,1,
KHC1039,1,
KHC1040,2,long period of zero reading
KHC1041,2,long period of zero reading
KHC1042,4,no HEPA
KHC1043,1,
KHC1044,2,elevated baseline
KHC1045,1,
KHC1046,1,
KHC1047,1,
KHC1048,1,
KHC1049,1,
KHC1050,1,
KHC1051,1,
KHC1052,1,
KHC1053,1,
KHC1054,1,
KHC1055,1,
KHC1056,1,
KHC1058,2,elevated baseline
KHC1059,2,elevated baseline
KHC1060,2,elevated baseline
KHC1061,2,elevated baseline
KHC1062,2,elevated baseline
KHC1063,2,elevated baseline
KHC1064,2,elevated baseline
KHC1065,2,elevated baseline
KHC1066,2,elevated baseline
KHC1067,2,elevated baseline
KHC1069,2,elevated baseline
KHC1070,2,elevated baseline
KHC1071,4,no HEPA
KHC1072,4,large HEPA difference
KHC1073,2,elevated baseline
KHC1074,1,
KHC1075,2,elevated baseline
KHC1076,2,elevated baseline
KHC1077,2,elevated baseline
KHC1078,2,elevated baseline
KHC1079,2,elevated baseline
KHC1080,2,elevated baseline
KHC1081,2,some negative readings
KHC1082,2,elevated baseline
KHC1083,2,elevated baseline
KHC1085,2,elevated baseline
KHC1086,2,elevated baseline
KHC1087,4,large HEPA difference
KHC1088,2,elevated baseline
KHC1089,2,elevated baseline
KHC1090,2,elevated baseline
KHC1091,2,elevated baseline
KHC1092,2,elevated baseline
KHC1094,1,
KHC1095,1,
KHC1096,1,
KHC1097,1,
KHC1098,1,
KHC1099,1,
KHC1100,1,
KHC1101,1,
KHC1102,1,
KHC1104,1,
KHC1105,1,
KHC1106,1,
KHC1107,4,large HEPA difference
KHC1108,1,
KHC1109,1,
KHC1110,1,
KHC1111,1,
KHC1112,1,
KHC1113,1,
KHC1114,1,
KHC1115,2,long period of zero reading
KHC1116,1,
KHC1117,1,
KHC1118,1,
KHC1119,1,
KHC1120,1,
KHC1121,2,elevated baseline
KHC1122,4,no HEPA
KHC1123,2,elevated baseline
KHC1125,2,elevated baseline
KHC1126,2,elevated baseline
KHC1127,2,elevated baseline
KHC1128,2,elevated baseline
KHC1129,2,elevated baseline
KHC1130,1,
KHC1131,1,
KHC1132,1,
KHC1133,1,
KHC1134,1,
KHC1135,1,
KHC1136,1,
KHC1137,1,
KHC1138,1,
KHC1139,1,
KHC1140,1,
KHC1141,1,
KHC1142,4,negative readings
KHC1143,1,
KHC1144,1,
KHC1145,1,
KHC1146,1,
KHC1147,1,
KHC1148,1,
KHC1149,1,
KHC1150,1,
KHC1151,1,
KHC1152,1,
KHC1153,4,long period of zero reading
KHC1154,1,
KHC1155,1,
KHC1156,1,
KHC1157,1,
KHC1158,1,
KHC1159,1,
KHC1160,1,
KHC1161,1,
KHC1162,1,
KHC1163,1,
KHC1164,1,
KHC1165,1,
KHC1166,1,
KHC1167,1,
KHC1168,1,
KHC1171,4,large HEPA difference
KHC1172,1,
KHC1173,1,
KHC1175,1,
KHC1176,1,
KHC1177,1,
KHC1178,1,
KHC1179,1,
KHC1180,1,
KHC1181,1,
KHC1182,1,
KHC1183,1,
KHC1184,1,
KHC1185,1,
KHC1186,1,
KHC1187,1,
KHC1188,1,
KHC1189,1,
KHC1190,1,
KHC1191,4,long period of zero reading
KHC1193,1,
KHC1194,1,
KHC1195,1,
KHC1196,1,
KHC1197,1,
KHC1198,1,
KHC1199,1,
KHC1200,4,no HEPA
KHC1201,1,
KHC1202,1,
KHC1203,1,
KHC1204,1,
KHC1205,1,
KHC1206,1,
KHC1207,1,
KHC1208,1,
KHC1209,1,
KHC1210,1,
KHC1211,4,large HEPA difference
KHC1212,1,
KHC1213,1,
KHC1214,1,
KHC1215,1,
KHC1216,1,
KHC1217,1,
KHC1218,1,
KHC1219,1,
KHC1221,1,
KHC1222,1,
KHC1223,1,
KHC1224,1,
KHC1225,1,
KHC1226,1,
KHC1227,1,
KHC1228,1,
KHC1229,1,
KHC1230,1,
KHC1231,1,
KHC1232,1,
KHC1233,1,
KHC1234,1,
KHC1235,1,
KHC1236,1,
KHC1237,1,
KHC1238,1,
KHC1239,1,
KHC1240,4,long period of zero reading
KHC1241,1,
KHC1242,1,
KHC1243,1,
KHC1244,1,
KHC1245,1,
KHC1246,1,
KHC1247,1,
KHC1248,1,
KHC1250,1,
KHC1251,1,
KHC1252,1,
KHC1253,2,large HEPA difference
KHC1254,1,
KHC1257,1,
KHC1258,1,
KHC1259,1,
KHC1260,1,
KHC1262,1,
KHC1265,1,
KHC1266,1,
KHC1267,1,
KHC1268,1,
KHC1269,1,
KHC1270,2,long period of zero reading
KHC1271,1,
KHC1272,1,
KHC1273,1,
KHC1274,1,
KHC1275,1,
KHC1276,4,no HEPA
KHC1277,1,
KHC1278,1,
KHC1279,4,large HEPA difference
KHC1280,1,
KHC1281,1,
KHC1282,1,
KHC1283,1,
KHC1284,1,
KHC1285,1,
KHC1286,1,
KHC1287,1,
KHC1288,1,
KHC1289,1,
KHC1290,1,
KHC1291,4,large HEPA difference
KHC1293,1,
KHC1294,1,
KHC1295,1,
KHC1301,1,
KHC1302,1,
KHC1303,1,
KHC1304,1,
KHC1305,4,large HEPA difference
KHC1306,1,
KHC1307,1,
KHC1308,1,
KHC1309,1,
KHC1310,1,
KHC1311,1,
KHC1312,1,
KHC1313,1,
KHC1314,2,large HEPA difference
KHC1315,1,
KHC1316,2,some negative readings
KHC1317,1,
KHC1318,1,
KHC1319,1,
KHC1320,1,
KHC1321,1,
KHC1322,1,
KHC1323,1,
KHC1324,1,
KHC1325,1,
KHC1327,1,
KHC1328,1,
KHC1329,1,
KHC1330,1,
KHC1333,1,
KHC1334,1,
KHC1335,1,
KHC1336,4,no HEPA
KHC1337,1,
KHC1338,1,
KHC1339,1,
KHC1340,4,no HEPA
KHC1342,1,
KHC1343,1,
KHC1344,1,
KHC1345,1,
KHC1346,1,
KHC1347,4,large HEPA difference
KHC1348,1,
KHC1349,1,
KHC1350,1,
KHC1351,1,
KHC1352,1,
KHC1353,1,
KHC1354,1,
KHC1355,1,
KHC1356,1,
KHC1357,1,
KHC1358,1,
KHC1359,1,
KHC1360,1,
KHC1361,1,
KHC1362,4,no HEPA
KHC1363,1,
KHC1364,1,
KHC1365,1,
KHC1366,1,
KHC1367,1,
KHC1368,1,
KHC1369,1,
KHC1371,1,
KHC1372,1,
KHC1374,4,large HEPA difference
KHC1375,1,
KHC1376,1,
KHC1377,1,
KHC1378,2,large HEPA difference
KHC1379,1,
KHC1381,1,
KHC1382,1,
KHC1383,4,no HEPA
KHC1384,1,
KHC1385,1,
KHC1386,1,
KHC1387,1,
KHC1388,1,
KHC1389,1,
KHC1390,1,
KHC1391,1,
KHC1392,1,
KHC1393,1,
KHC1394,1,
KHC1395,1,
KHC1397,1,
KHC1398,1,
KHC1399,1,
KHC1400,1,
KHC1401,1,
KHC1402,1,
KHC1403,1,
KHC1404,1,
KHC1405,1,
KHC1406,1,
KHC1407,1,
KHC1408,1,
KHC1409,1,
KHC1410,1,
KHC1411,2,long period of zero reading
KHC1412,1,
KHC1413,4,long period of zero reading
KHC1414,1,
KHC1415,2,long period of zero reading
KHC1416,2,long period of zero reading
KHC1417,1,
KHC1418,1,
KHC1419,1,
KHC1420,1,
KHC1421,1,
KHC1422,1,
KHC1423,1,
KHC1424,1,
KHC1425,1,
KHC1426,1,
KHC1427,1,
KHC1428,1,
KHC1429,1,
KHC1430,1,
KHC1431,1,
KHC1432,1,
KHC1433,1,
KHC1434,1,
KHC1435,1,
KHC1436,4,large HEPA difference
KHC1437,1,
KHC1438,1,
KHC1439,1,
KHC1440,1,
KHC1442,1,
KHC1445,1,
KHC1451,1,
KHC1452,1,
KHC1453,1,
KHC1454,1,
KHC1455,1,
KHC1456,1,
KHC1457,1,
KHC1458,1,
KHC1459,1,
KHC1460,1,
KHC1461,1,
KHC1462,1,
KHC1463,1,
KHC1464,4,step baseline
KHC1465,1,
KHC1466,4,no HEPA
KHC1467,1,
KHC1468,1,
KHC1469,1,
KHC1470,1,
KHC1471,1,
KHC1472,4,negative readings
KHC1473,1,
KHC1474,1,
KHC1475,1,
KHC1476,1,
KHC1477,1,
KHC1478,1,
KHC1479,1,
KHC1480,1,
KHC1481,1,
KHC1482,1,
KHC1483,1,
KHC1484,1,
KHC1485,1,
KHC1486,1,
KHC1487,2,long period of zero reading
KHC1488,2,long period of zero reading
KHC1489,1,
KHC1490,1,
KHC1491,4,no HEPA
KHC1492,1,
KHC1493,1,
KHC1494,1,
KHC1495,1,
KHC1496,1,
KHC1497,1,
KHC1498,1,
KHC1499,1,
KHC1500,1,
KHC1501,4,negative readings
KHC1502,4,large HEPA difference
KHC1505,1,
KHC1506,1,
KHC1507,1,
KHC1508,1,
KHC1509,1,
KHC1510,1,
KHC1511,1,
KHC1512,1,
KHC1513,1,
KHC1514,1,
KHC1515,1,
KHC1516,1,
KHC1517,1,
KHC1518,1,
KHC1519,1,
KHC1520,1,
KHC1521,1,
KHC1522,1,
KHC1523,1,
KHC1524,1,
KHC1525,1,
KHC1526,1,
KHC1529,1,
KHC1530,4,no HEPA
KHC1531,1,
KHC1532,1,
KHC1533,1,
KHC1534,1,
KHC1535,4,large HEPA difference
KHC1536,1,
KHC1537,2,large HEPA difference
KHC1538,1,
KHC1539,1,
